ST_CASE,AGE,SEX,REST_USE,INJ_SEV,DRINKING,DRUGS,PER_TYP
10143,32,1,5,4,9,9,1
10144,41,1,7,4,1,1,1
10144,44,1,7,3,8,8,2
10144,36,2,7,2,0,0,1
10144,35,1,7,2,8,8,2
10145,27,1,5,4,9,9,1
10145,24,2,5,3,8,8,2
10145,38,1,3,2,0,0,1
10146,30,1,99,4,9,9,1
10146,999,9,99,0,9,9,1
10146,42,2,99,3,0,9,1
10146,13,1,3,3,8,8,2
10147,29,1,7,4,0,0,1
10147,45,1,99,3,0,9,1
10148,25,1,7,0,0,1,1
10148,15,2,3,0,8,8,2
10149,59,1,7,4,9,9,1
10150,69,1,7,4,9,9,1
10150,60,1,3,2,0,0,1
10151,71,1,3,4,0,0,1
10152,50,1,7,4,9,9,1
10152,58,1,3,0,0,0,1
10153,23,1,7,2,0,0,1
10153,44,2,3,4,9,9,1
10153,65,1,3,0,0,0,1
10153,63,2,3,0,0,0,1
10153,65,1,3,0,0,0,1
10153,65,2,3,0,8,8,2
10154,36,1,3,4,0,0,1
10155,21,1,7,4,9,9,1
10155,16,2,7,3,8,8,2
10155,53,1,3,0,0,0,1
10156,64,1,7,4,9,9,1
10157,63,1,3,2,0,0,1
10157,31,1,7,4,0,0,1
10158,17,1,3,3,0,0,1
10158,15,2,3,4,8,8,2
10158,58,2,3,0,0,0,1
10159,62,1,7,4,0,9,1
10160,29,2,3,0,0,0,1
10161,27,2,3,1,0,0,1
10161,77,1,3,1,0,0,1
10161,74,2,3,4,8,8,2
10162,999,9,99,0,9,9,1
10163,24,1,7,4,9,9,1
10163,17,1,3,0,9,9,1
10164,33,1,3,3,0,0,1
10164,25,2,99,4,8,8,2
10165,47,1,7,4,0,0,1
10165,54,2,3,4,8,8,2
10165,69,2,3,3,0,0,1
10166,24,1,99,4,9,9,1
10167,23,1,7,4,9,9,1
10168,41,1,99,2,1,9,1
10168,49,1,99,4,8,8,2
10169,18,1,3,1,0,0,1
10169,17,1,7,4,8,8,2
10169,22,2,3,2,0,0,1
10170,19,1,3,3,0,0,1
10170,66,2,3,4,8,8,2
10170,51,2,3,3,0,0,1
10170,15,1,3,3,8,8,2
10171,53,1,5,4,9,9,1
10171,65,1,3,0,0,0,1
10172,30,1,3,2,0,0,1
10172,58,2,3,4,0,0,1
10172,16,2,0,2,8,8,2
10172,7,1,0,2,8,8,2
10172,12,2,0,2,8,8,2
10172,18,2,0,2,8,8,2
10172,12,1,0,2,8,8,2
10172,12,2,0,2,8,8,2
10172,8,2,0,3,8,8,2
10172,12,1,0,2,8,8,2
10172,13,2,0,2,8,8,2
10172,14,2,0,2,8,8,2
10172,13,2,0,2,8,8,2
10172,14,1,0,2,8,8,2
10172,8,1,0,2,8,8,2
10172,9,2,0,2,8,8,2
10173,37,1,3,4,1,9,1
10173,21,1,3,2,9,9,1
10173,30,2,3,2,8,8,2
10173,3,1,10,1,8,8,2
10173,9,2,3,1,8,8,2
10174,47,1,7,4,0,0,1
10174,39,1,7,0,0,0,1
10175,50,2,3,4,9,9,1
10175,21,1,3,2,8,8,2
10176,36,1,3,4,9,9,1
10177,59,2,3,3,0,0,1
10177,42,2,3,3,8,8,2
10177,57,2,7,4,8,8,2
10177,25,1,3,0,0,0,1
10178,999,9,99,0,9,9,1
10179,68,1,5,4,0,0,1
10179,28,1,3,0,0,0,1
10180,19,1,3,2,0,0,1
10180,18,1,3,4,8,8,2
10180,19,1,7,4,8,8,2
10180,48,1,7,2,0,0,1
10180,45,2,3,1,0,0,1
10181,16,2,3,4,0,0,1
10182,53,2,3,0,0,0,1
10182,83,1,3,4,9,9,1
10183,24,1,3,0,0,0,1
10184,52,1,7,4,9,9,1
10185,20,2,7,4,0,0,1
10186,65,1,7,2,9,9,1
10186,61,2,7,4,8,8,2
10186,50,1,7,2,8,8,2
10187,36,2,7,4,1,0,1
10187,40,1,7,3,8,8,2
10188,20,1,99,3,1,9,1
10188,37,1,99,4,8,8,2
10188,52,1,3,0,0,0,1
10188,38,1,3,0,8,8,2
10189,19,1,3,0,0,0,1
10189,71,1,3,4,9,9,1
10189,998,2,3,2,8,8,2
10190,43,1,3,2,9,9,1
10190,44,2,3,2,8,8,2
10190,10,1,3,2,8,8,2
10190,14,2,3,4,8,8,2
10190,75,1,3,0,0,0,1
10190,61,1,3,0,8,8,2
10191,29,1,3,3,1,1,1
10191,29,1,7,4,8,8,2
10192,26,1,3,4,0,1,1
10193,18,1,7,4,0,0,1
10193,16,1,7,3,8,8,2
10193,67,1,3,3,0,0,1
10193,13,1,3,0,8,8,2
10194,38,1,99,0,1,9,1
10194,72,2,99,4,9,9,1
10195,51,1,7,3,1,1,1
10195,69,2,3,4,0,0,1
10195,92,2,3,4,8,8,2
10196,61,1,3,4,1,9,1
10197,47,1,3,0,0,0,1
10197,23,1,5,4,9,9,1
10198,80,2,3,3,0,0,1
10198,98,2,3,4,8,8,2
10198,72,1,7,2,0,0,1
10199,19,2,3,4,0,0,1
10199,24,2,7,4,0,0,1
